#OTU ID	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN143730_c1_g2_i1	0	0	0	1	0	1
TRINITY_DN138029_c15_g1_i1	0	0	8	1	0	2
TRINITY_DN139562_c3_g1_i1	4	0	0	0	0	4
TRINITY_DN142591_c6_g7_i3	8	0	4	38	0	12
TRINITY_DN135568_c0_g1_i3	0	0	1	2	0	2
TRINITY_DN141328_c4_g5_i1	1	0	1	0	10	1
TRINITY_DN140574_c1_g1_i7	0	0	1	0	2	1
TRINITY_DN134951_c0_g1_i1	0	2	1	9	0	0
TRINITY_DN140367_c17_g6_i1	1	0	0	0	0	0
TRINITY_DN137041_c0_g1_i1	14	0	0	0	8	0
TRINITY_DN140607_c1_g1_i1	1	6	0	25	0	0
TRINITY_DN145061_c2_g1_i1	87	0	1	0	3	13
TRINITY_DN145515_c3_g1_i5	1	4	0	0	0	0
TRINITY_DN144907_c14_g1_i1	1	0	0	0	0	13
TRINITY_DN145227_c2_g1_i3	0	0	0	3	0	49
TRINITY_DN140649_c6_g1_i2	1	0	0	2	0	0
TRINITY_DN144626_c2_g1_i3	5	5	2	48	0	0
TRINITY_DN139582_c2_g1_i3	0	0	0	2	0	1
TRINITY_DN142900_c5_g1_i6	18	0	1	0	0	41
TRINITY_DN85643_c0_g1_i1	632	0	1	1	0	94
TRINITY_DN138543_c2_g2_i2	1	0	0	0	0	1
TRINITY_DN139116_c3_g1_i2	0	5	5	10	0	1
TRINITY_DN129216_c4_g1_i1	1	0	5	15	0	17
TRINITY_DN138200_c2_g1_i1	0	31	2	0	0	0
TRINITY_DN141476_c1_g1_i4	2	0	0	0	11	0
TRINITY_DN137565_c1_g2_i3	2	0	1	0	4	0
TRINITY_DN135487_c1_g2_i4	0	5	4	0	0	17
TRINITY_DN139723_c4_g1_i1	0	0	1	0	0	3
TRINITY_DN144825_c5_g1_i5	2	0	0	1	0	8
TRINITY_DN143409_c0_g1_i7	0	0	1	1	0	0
TRINITY_DN143270_c3_g1_i2	3	0	4	0	0	0
TRINITY_DN141803_c14_g7_i1	35	0	0	0	252	8
TRINITY_DN143034_c0_g2_i1	0	0	2	0	0	1
TRINITY_DN145261_c61_g1_i3	22	0	23	0	0	496
TRINITY_DN144959_c7_g1_i5	1	0	0	2	0	2
TRINITY_DN144271_c1_g2_i1	4	0	0	38	4	0
TRINITY_DN142485_c6_g9_i1	52	0	24	0	0	113
TRINITY_DN144904_c4_g1_i2	20	0	0	269	0	0
TRINITY_DN1311935_c6_g2_i1	0	7	28	9	0	0
TRINITY_DN142446_c2_g1_i3	0	0	1	3	0	3
TRINITY_DN135297_c0_g3_i1	1	0	1	0	0	0
TRINITY_DN124509_c2_g2_i1	2	0	2	0	0	1
TRINITY_DN144236_c2_g1_i14	3	0	0	0	0	3
TRINITY_DN141804_c1_g1_i4	0	0	0	1	0	1
TRINITY_DN136113_c1_g1_i4	0	17	0	34	0	0
TRINITY_DN383600_c50_g1_i1	0	1	0	0	15046	0
TRINITY_DN140104_c0_g2_i7	1	0	1	4	0	2
TRINITY_DN119709_c0_g1_i1	1	0	0	0	0	1
TRINITY_DN144589_c0_g1_i4	7	0	0	1	1	0
TRINITY_DN134571_c44_g1_i1	63	21	25	46	0	229
TRINITY_DN144859_c6_g1_i4	0	0	3	0	0	7
TRINITY_DN145021_c3_g1_i1	2	0	1	0	7	18
TRINITY_DN137655_c1_g3_i2	1	0	15	0	0	2
TRINITY_DN140808_c1_g1_i13	3	0	0	2	0	1
TRINITY_DN136118_c0_g2_i3	0	0	5	1	0	1
TRINITY_DN1099395_c0_g1_i1	0	0	17	0	0	3
TRINITY_DN143620_c2_g1_i2	0	0	2	1	0	2
TRINITY_DN143766_c1_g3_i1	0	0	1	1	0	1
TRINITY_DN145803_c5_g1_i4	124	1	0	573	0	293
TRINITY_DN145623_c1_g1_i5	0	0	3	3	0	0
TRINITY_DN139598_c0_g2_i8	0	0	1	0	0	2
TRINITY_DN138230_c1_g1_i6	28	0	0	0	18	0
TRINITY_DN141803_c15_g2_i7	0	20	0	0	62	0
TRINITY_DN145373_c0_g1_i1	7	0	0	0	0	8
TRINITY_DN141904_c3_g1_i1	1	0	1	0	4	4
TRINITY_DN144543_c2_g1_i11	0	0	1	0	23	11
TRINITY_DN139720_c6_g2_i1	0	0	1	5	0	1
TRINITY_DN139422_c4_g1_i7	0	0	1	2	0	1
TRINITY_DN136653_c4_g1_i6	0	74	1	0	0	1
TRINITY_DN142283_c2_g1_i12	1	1	3	3	0	0
TRINITY_DN140265_c7_g4_i1	80	0	0	215	0	58
TRINITY_DN143849_c2_g1_i5	1	0	2	0	0	2
TRINITY_DN145074_c4_g2_i15	16	0	0	0	0	2
TRINITY_DN144616_c7_g3_i2	17	0	0	0	0	6
TRINITY_DN610131_c0_g2_i1	2	0	0	0	0	4
TRINITY_DN143407_c1_g1_i9	0	0	1	3	0	5
TRINITY_DN120103_c7_g1_i1	0	0	0	1	0	0
TRINITY_DN140347_c7_g1_i2	0	0	2	0	0	2
TRINITY_DN138509_c3_g4_i1	0	0	0	1	0	0
TRINITY_DN612198_c2_g1_i1	13	0	0	513	0	105
TRINITY_DN144368_c1_g1_i1	1	0	2	0	0	6
TRINITY_DN140831_c5_g6_i1	2	0	0	0	17	0
TRINITY_DN145613_c24_g1_i2	1	0	4	33	0	3
TRINITY_DN142433_c2_g1_i9	1	0	3	19	0	0
TRINITY_DN138290_c2_g2_i3	0	0	3	0	0	6
TRINITY_DN1090249_c1_g1_i1	8	0	1	106	0	0
TRINITY_DN144044_c6_g1_i4	2	0	1	0	0	24
TRINITY_DN141574_c1_g14_i1	0	0	1	0	77	0
TRINITY_DN142715_c3_g2_i2	0	0	16	9	0	14
TRINITY_DN141896_c0_g5_i1	1	0	1	0	0	1
TRINITY_DN144979_c3_g1_i1	0	0	0	28	0	1
TRINITY_DN144063_c5_g2_i2	13	0	0	0	0	4
TRINITY_DN141103_c0_g2_i1	12	0	0	0	3	0
TRINITY_DN131550_c0_g1_i1	1	0	1	0	0	0
TRINITY_DN135048_c0_g1_i1	4	0	0	1	0	1
TRINITY_DN143402_c2_g1_i6	4	63	3	70	32	5
TRINITY_DN145292_c1_g1_i18	2	0	5	3	0	1
TRINITY_DN135352_c1_g2_i1	3	0	0	0	70	0
TRINITY_DN143410_c0_g1_i1	1	0	25	0	0	2
TRINITY_DN134765_c1_g1_i1	1	0	0	0	5	0
TRINITY_DN135776_c2_g1_i1	1	0	2	0	0	3
TRINITY_DN141975_c5_g6_i1	0	0	1	0	0	1
TRINITY_DN136140_c0_g1_i4	0	0	1	4	0	3
TRINITY_DN141869_c2_g1_i3	1	0	0	0	0	3
TRINITY_DN143229_c6_g1_i1	11	0	0	0	0	2
TRINITY_DN135636_c0_g1_i1	0	0	0	1	0	3
TRINITY_DN32023_c2_g1_i2	1	0	6	0	0	0
TRINITY_DN142120_c2_g1_i1	4	0	0	9	0	0
TRINITY_DN145463_c6_g1_i1	4	0	0	0	0	2
TRINITY_DN142526_c5_g1_i7	2	0	0	32	0	2
TRINITY_DN143798_c4_g7_i2	0	0	1	0	6	0
TRINITY_DN139003_c2_g1_i8	2	0	1	0	0	1
TRINITY_DN143481_c2_g1_i6	0	0	4	0	4	0
TRINITY_DN141946_c0_g1_i4	1	0	0	0	0	2
TRINITY_DN143188_c10_g1_i2	1	114	11	3	4	3
TRINITY_DN144835_c0_g2_i3	1	0	7	0	0	0
TRINITY_DN138845_c5_g1_i5	0	0	0	2	0	1
TRINITY_DN141371_c2_g1_i2	2	0	0	0	40	0
TRINITY_DN136629_c1_g4_i1	8	0	47	34	0	0
TRINITY_DN140887_c0_g3_i5	0	0	1	0	2	0
TRINITY_DN140498_c0_g1_i7	0	5	0	6	0	0
TRINITY_DN144594_c24_g1_i5	2	0	14	0	87	2
TRINITY_DN137494_c2_g3_i1	0	0	9	1	0	12
TRINITY_DN137054_c3_g3_i1	4	0	0	0	0	8
TRINITY_DN142386_c1_g3_i8	1	0	0	0	0	1
TRINITY_DN137267_c3_g5_i1	0	0	1	0	62	2
TRINITY_DN142352_c8_g1_i3	0	0	1	2	0	3
TRINITY_DN140823_c6_g1_i2	0	0	2	0	19	51
TRINITY_DN135599_c0_g1_i1	1	0	1	0	0	0
TRINITY_DN142437_c0_g3_i4	1	0	0	2	0	1
TRINITY_DN141751_c3_g1_i1	0	0	6	4	0	5
TRINITY_DN139235_c5_g1_i3	1	0	2	1	0	1
TRINITY_DN145344_c5_g1_i1	0	8	18	3	0	9
TRINITY_DN140744_c3_g2_i1	0	0	1	12	0	15
TRINITY_DN141777_c8_g1_i1	0	0	8	7	10	11
TRINITY_DN140117_c0_g8_i1	0	0	1	1	0	1
TRINITY_DN870186_c0_g1_i2	1	0	1	4	0	0
TRINITY_DN142800_c9_g1_i1	26	0	0	0	40	0
TRINITY_DN144769_c1_g1_i1	0	0	2	2	0	1
TRINITY_DN143088_c3_g4_i1	0	0	3	1	0	10
TRINITY_DN138663_c0_g1_i1	1	0	0	4	0	1
TRINITY_DN141413_c1_g2_i2	2	0	4	0	0	2
TRINITY_DN135774_c6_g7_i1	2	0	0	2	0	1
TRINITY_DN145261_c61_g2_i1	0	0	13	0	0	5
TRINITY_DN143084_c1_g1_i5	3	0	0	0	0	1
TRINITY_DN136784_c0_g1_i9	0	0	3	0	0	5
TRINITY_DN50955_c0_g1_i1	11	0	0	0	0	1
TRINITY_DN139422_c4_g1_i8	0	0	3	11	0	2
TRINITY_DN137488_c3_g2_i3	1	0	1	0	0	1
TRINITY_DN109895_c0_g1_i1	1	0	1	2	0	0
TRINITY_DN142175_c5_g7_i1	12	0	1	1	0	0
TRINITY_DN135776_c2_g1_i2	0	0	0	1	0	2
TRINITY_DN140278_c0_g1_i1	2	2	4	0	0	4
TRINITY_DN141643_c0_g5_i3	0	0	2	0	0	1
TRINITY_DN138543_c2_g6_i2	1	0	2	0	0	2
TRINITY_DN139257_c3_g2_i6	0	0	0	0	0	5
TRINITY_DN1090380_c4_g1_i1	0	0	0	0	0	22
TRINITY_DN141543_c1_g2_i10	1	0	1	0	0	0
TRINITY_DN861195_c2_g1_i1	0	0	0	1	24	1
TRINITY_DN137402_c3_g1_i2	1	0	9	0	23	0
TRINITY_DN144266_c8_g1_i3	0	0	1	18	0	0
TRINITY_DN142796_c3_g1_i3	0	1	3	0	0	0
TRINITY_DN145064_c0_g1_i4	32	0	2	0	0	4
TRINITY_DN144606_c1_g6_i1	0	1	2	0	0	1
TRINITY_DN137375_c0_g1_i5	3	0	0	0	4	0
TRINITY_DN25374_c2_g1_i1	0	0	1	1	0	1
TRINITY_DN144003_c14_g1_i1	2	3	0	0	67	8
TRINITY_DN145461_c6_g2_i1	0	0	50	0	0	1
TRINITY_DN136932_c1_g1_i6	1	0	1	0	0	3
TRINITY_DN144196_c3_g1_i4	12	0	1	0	0	8
TRINITY_DN142451_c1_g1_i15	0	0	1	0	0	1
TRINITY_DN138025_c6_g1_i1	2	0	4	2	0	0
TRINITY_DN145232_c3_g1_i1	19	0	0	0	0	4
TRINITY_DN136503_c3_g2_i6	3	0	0	0	0	2
TRINITY_DN136183_c3_g4_i3	0	0	0	18	0	0
TRINITY_DN142309_c15_g5_i4	9	0	0	189	0	0
TRINITY_DN134640_c1_g2_i2	2	0	1	4	0	0
TRINITY_DN142620_c2_g2_i1	0	0	2	1	0	2
TRINITY_DN145397_c5_g1_i1	12	0	0	165	0	245
TRINITY_DN139288_c4_g1_i1	9	0	0	72	0	14
TRINITY_DN142575_c1_g1_i1	0	0	1	0	0	3
TRINITY_DN139137_c2_g4_i2	0	0	1	0	0	5
TRINITY_DN137898_c6_g1_i1	3	0	0	0	65	0
TRINITY_DN143647_c9_g1_i4	14	0	0	0	0	16
TRINITY_DN145300_c5_g1_i3	118	1	0	214	0	31
TRINITY_DN144688_c2_g4_i7	0	1	0	2	0	2
TRINITY_DN144708_c3_g1_i6	2	17	18	4	2	255
TRINITY_DN139422_c4_g2_i1	1	0	8	8	0	4
TRINITY_DN144483_c7_g1_i1	0	0	0	0	19	10
TRINITY_DN141353_c1_g1_i3	1	0	3	0	0	1
TRINITY_DN132024_c0_g1_i1	0	0	1	0	0	1
TRINITY_DN143128_c10_g3_i1	1	0	0	0	44	0
TRINITY_DN143948_c6_g3_i2	55	43	6	48	0	54
TRINITY_DN132086_c1_g1_i1	0	0	1	0	0	7
TRINITY_DN143079_c6_g4_i1	0	0	6	0	0	1
TRINITY_DN138910_c3_g1_i1	2	0	0	0	20	0
TRINITY_DN137822_c0_g3_i5	0	0	2	15	0	0
