sequence	GRAVY index
>dbAMP_06738	-0.3031746031746032
>dbAMP_06739	0.06363636363636363
>dbAMP_06745	-0.24905660377358493
>dbAMP_06750	-0.2957446808510638
>dbAMP_06752	-0.39361702127659576
>dbAMP_06754	0.30769230769230765
>dbAMP_06755	-1.1744680851063831
>dbAMP_06756	-0.6895348837209303
>dbAMP_06757	-0.674712643678161
>dbAMP_06769	-0.65
>dbAMP_06789	-1.241044776119403
>dbAMP_06808	-0.08980392156862747
>dbAMP_06809	-0.08980392156862747
>dbAMP_06810	-0.1031372549019608
>dbAMP_06811	-0.1031372549019608
>dbAMP_06812	-0.1031372549019608
>dbAMP_06917	0.8691891891891891
>dbAMP_06922	-0.6082474226804123
>dbAMP_07374	-0.10930232558139537
>dbAMP_07375	0.20227272727272727
>dbAMP_07376	0.20227272727272727
>dbAMP_07377	1.0108108108108107
>dbAMP_07378	-0.14418604651162792
>dbAMP_07404	0.3053571428571429
>dbAMP_07419	-0.563529411764706
>dbAMP_07516	-0.8796460176991151
>dbAMP_07519	-1.3297872340425532
>dbAMP_07523	0.21654135338345865
>dbAMP_07524	0.27894736842105267
>dbAMP_07548	0.14516129032258066
>dbAMP_07550	0.06304347826086955
>dbAMP_07551	-0.015217391304347835
>dbAMP_07552	-0.403448275862069
>dbAMP_07556	-0.16913580246913582
>dbAMP_07562	1.3870967741935485
>dbAMP_07608	0.115
>dbAMP_07795	-0.21176470588235297
>dbAMP_07797	0.23023255813953486
>dbAMP_07848	0.08085106382978723
>dbAMP_07849	0.08191489361702127
>dbAMP_07850	0.10638297872340426
>dbAMP_07851	0.09782608695652174
>dbAMP_07852	0.1326086956521739
>dbAMP_07853	0.14893617021276595
>dbAMP_07854	0.08617021276595742
>dbAMP_07906	-0.06716417910447763
>dbAMP_07911	-0.11406250000000001
>dbAMP_07912	-0.0015384615384615467
>dbAMP_07913	-0.04444444444444445
>dbAMP_07914	0.03538461538461538
>dbAMP_07915	-0.0015384615384615467
>dbAMP_07937	0.686046511627907
>dbAMP_07938	0.1714285714285714
>dbAMP_07939	-0.052941176470588255
>dbAMP_07940	0.21428571428571427
>dbAMP_07947	-0.4532258064516129
>dbAMP_07948	-0.48709677419354835
>dbAMP_07949	-0.482258064516129
>dbAMP_07950	-0.4370967741935484
>dbAMP_07952	-0.08169014084507041
>dbAMP_07953	0.18450704225352113
>dbAMP_07954	0.31842105263157894
>dbAMP_07958	-0.04647887323943662
>dbAMP_07959	0.030555555555555558
>dbAMP_07960	-0.07887323943661972
>dbAMP_07962	0.01971830985915493
>dbAMP_07963	-0.004225352112676051
>dbAMP_07964	-0.014084507042253521
>dbAMP_07965	-0.17083333333333334
>dbAMP_07966	-0.08243243243243242
>dbAMP_07968	-0.24310344827586206
>dbAMP_07969	-0.25
>dbAMP_07970	-0.24310344827586206
>dbAMP_07974	-0.6112903225806451
>dbAMP_08150	-0.3381818181818182
>dbAMP_08161	-0.6549999999999999
>dbAMP_08173	-0.3472727272727273
>dbAMP_08174	0.0459016393442623
>dbAMP_08175	0.0459016393442623
>dbAMP_08196	0.019607843137254888
>dbAMP_08204	0.23333333333333336
>dbAMP_08227	-0.4131147540983606
>dbAMP_08312	-0.6833333333333333
>dbAMP_08330	-0.24583333333333332
>dbAMP_08333	-0.20985915492957744
>dbAMP_08334	-0.29859154929577464
>dbAMP_08351	-0.4612903225806451
>dbAMP_08363	-0.035849056603773584
>dbAMP_08405	-0.5886363636363637
>dbAMP_08416	-0.6877049180327869
>dbAMP_08466	1.00625
>dbAMP_08471	-0.29642857142857143
>dbAMP_08488	0.18275862068965518
>dbAMP_08489	0.23620689655172414
>dbAMP_08492	-0.637313432835821
>dbAMP_08510	-0.0031746031746031677
>dbAMP_08511	-0.1842105263157895
>dbAMP_08516	0.0968627450980392
>dbAMP_08530	0.08510638297872339
>dbAMP_08713	-0.35882352941176476
>dbAMP_08787	-0.07083333333333336
>dbAMP_08788	-0.17500000000000004
>dbAMP_08789	-0.23958333333333337
>dbAMP_08801	-0.22191780821917811
>dbAMP_08804	-0.2516129032258065
>dbAMP_08805	-0.08000000000000004
>dbAMP_08807	-0.20909090909090913
>dbAMP_08808	-0.08363636363636366
>dbAMP_08809	-0.08181818181818183
>dbAMP_08811	-0.09607843137254904
>dbAMP_08812	-0.0427450980392157
>dbAMP_08813	-0.11372549019607844
>dbAMP_08814	-0.09686274509803923
>dbAMP_08815	-0.11764705882352942
>dbAMP_08817	-0.08745098039215687
>dbAMP_08819	-0.023137254901960794
>dbAMP_08821	-0.13725490196078433
>dbAMP_08824	-0.15176470588235294
>dbAMP_08826	-0.5967213114754099
>dbAMP_08831	0.004347826086956516
>dbAMP_08853	-0.334375
>dbAMP_08860	-0.2821917808219178
>dbAMP_08861	-0.25921052631578945
>dbAMP_08862	-0.2486842105263158
>dbAMP_08863	-0.28289473684210525
>dbAMP_08868	-0.43333333333333335
>dbAMP_08870	-0.27222222222222225
>dbAMP_08872	-0.17714285714285716
>dbAMP_08874	-0.1625
>dbAMP_08931	0.20909090909090908
>dbAMP_08942	0.3977272727272727
>dbAMP_08943	0.46136363636363636
>dbAMP_08955	-0.1403225806451613
>dbAMP_08984	0.06527777777777775
>dbAMP_08990	-0.5333333333333333
>dbAMP_09022	-0.01076923076923078
>dbAMP_09049	0.00044444444444443547
>dbAMP_09060	-1.2925925925925925
>dbAMP_09064	0.05352112676056337
>dbAMP_09065	0.2661971830985915
>dbAMP_09170	-0.5372881355932203
>dbAMP_09192	-1.2714285714285716
>dbAMP_09193	-1.2714285714285716
>dbAMP_09280	0.1359375
>dbAMP_09295	-0.18313725490196078
>dbAMP_09309	-0.05529411764705883
>dbAMP_09310	-0.048627450980392166
>dbAMP_09311	-0.048627450980392166
>dbAMP_09312	-0.06941176470588237
>dbAMP_09339	-0.18392857142857144
>dbAMP_09345	-0.41621621621621624
>dbAMP_09351	0.4295454545454545
>dbAMP_09352	0.3590909090909091
>dbAMP_09380	-0.5051020408163265
>dbAMP_09393	-0.11399999999999999
>dbAMP_09405	0.18596491228070175
>dbAMP_09406	0.08596491228070174
>dbAMP_09407	0.14035087719298245
>dbAMP_09408	-0.005263157894736855
>dbAMP_09409	-0.010526315789473694
>dbAMP_09410	-0.015789473684210534
>dbAMP_09411	0.14035087719298245
>dbAMP_09412	0.12982456140350876
>dbAMP_09416	-0.0035087719298245645
>dbAMP_09417	-0.008771929824561403
>dbAMP_09419	0.03333333333333332
>dbAMP_09426	0.03173076923076922
>dbAMP_09432	-0.08431372549019607
>dbAMP_09436	0.03296703296703297
>dbAMP_09437	0.4045454545454545
>dbAMP_09439	0.1576923076923077
>dbAMP_09445	-0.25960784313725493
>dbAMP_09447	-0.47833333333333333
>dbAMP_09448	-0.42666666666666664
>dbAMP_09452	0.6068181818181818
>dbAMP_09454	-0.3580392156862745
>dbAMP_09457	0.2268292682926829
>dbAMP_09462	-0.176
>dbAMP_09466	-0.24603960396039606
>dbAMP_09477	-0.2111111111111111
>dbAMP_09487	-0.6707317073170732
>dbAMP_09495	-0.3325490196078431
>dbAMP_09496	-0.32039215686274514
>dbAMP_09497	-0.3172549019607843
>dbAMP_09502	-0.35737704918032787
>dbAMP_09560	1.009090909090909
>dbAMP_09574	-0.6215686274509804
>dbAMP_09657	-0.5058823529411764
>dbAMP_09696	0.18620689655172415
>dbAMP_09707	0.8714285714285713
>dbAMP_09713	-0.5444444444444445
>dbAMP_09716	0.9593220338983051
>dbAMP_09718	0.84
>dbAMP_09719	0.6914285714285714
>dbAMP_09720	0.6294117647058823
>dbAMP_09722	0.5230769230769231
>dbAMP_09779	-0.04347826086956521
>dbAMP_09808	-1.0222222222222221
>dbAMP_09809	0.19791666666666666
>dbAMP_09810	0.382
>dbAMP_09811	-0.3592592592592592
>dbAMP_09812	-0.1774193548387097
>dbAMP_09813	-0.1774193548387097
>dbAMP_09814	-0.5857142857142857
>dbAMP_09872	-0.23304721030042921
>dbAMP_09899	1.2666666666666666
>dbAMP_09904	0.5874999999999999
>dbAMP_09960	0.33249999999999996
>dbAMP_09961	0.3890243902439024
>dbAMP_10004	0.6
>dbAMP_10023	-2.35
>dbAMP_10113	1.0209302325581395
>dbAMP_10149	-1.5166666666666666
>dbAMP_10169	-0.5068181818181818
>dbAMP_10192	-0.79
>dbAMP_10226	-1.0999999999999999
>dbAMP_10278	-0.00909090909090916
>dbAMP_10343	0.53125
>dbAMP_10352	2.1333333333333333
>dbAMP_10364	0.45
>dbAMP_10368	0.35555555555555557
>dbAMP_10398	-0.708411214953271
>dbAMP_10399	-1.1816666666666666
>dbAMP_10405	-0.90625
>dbAMP_10428	0.32916666666666666
>dbAMP_10468	0.9416666666666668
>dbAMP_10481	0.7478260869565218
>dbAMP_10600	0.337037037037037
>dbAMP_10602	0.43157894736842106
>dbAMP_10603	0.20833333333333337
>dbAMP_10637	-2.1
>dbAMP_10657	-0.22258064516129034
>dbAMP_10736	-0.65625
>dbAMP_10840	-0.6152709359605911
>dbAMP_10907	-0.7491525423728814
>dbAMP_10908	-0.022580645161290325
>dbAMP_10909	0.0870967741935484
>dbAMP_10914	1.0071428571428571
>dbAMP_10915	1.146153846153846
>dbAMP_10916	1.48
>dbAMP_10918	1.1071428571428572
>dbAMP_10923	1.0071428571428571
>dbAMP_10924	1.2
>dbAMP_10927	0.5638888888888889
>dbAMP_11011	-0.6803921568627451
>dbAMP_11019	-0.5344827586206896
>dbAMP_11022	-0.47586206896551725
>dbAMP_11077	-0.6923076923076923
>dbAMP_11090	-1.3386363636363636
>dbAMP_11116	-0.22
>dbAMP_11147	-0.44468085106382976
>dbAMP_11182	0.007499999999999974
>dbAMP_11183	-0.08974358974358977
>dbAMP_11205	-0.8461538461538461
>dbAMP_11245	1.2684210526315791
>dbAMP_11247	-0.029166666666666664
>dbAMP_11254	0.8904761904761904
>dbAMP_11268	0.6592592592592593
>dbAMP_11270	0.35714285714285715
>dbAMP_11273	0.5756756756756757
>dbAMP_11278	0.01111111111111112
>dbAMP_11280	0.4547619047619048
>dbAMP_11301	0.41818181818181815
>dbAMP_11366	-0.3558823529411765
>dbAMP_11367	-0.4730769230769231
>dbAMP_11425	-0.43333333333333335
>dbAMP_11432	0.284375
